date,time,symbol,price,volume,value,cum_volume,cum_value,floor
2026-03-12,14:47:29,VPB,25.784,1372000,35375648.0,6794000,186894248.0,HOSE
2026-03-12,14:47:31,VPB,25.784,106000,2733104.0,6900000,189627352.0,HOSE
2026-03-12,14:47:42,ACB,21.65,65000,1407250.0,65000,1407250.0,HOSE
2026-03-12,14:48:35,PNJ,116.783,100000,11678300.0,100000,11678300.0,HOSE
2026-03-12,14:49:07,AGG,12.9,350000,4515000.0,5184000,66873600.0,HOSE
2026-03-12,14:49:14,VNM,61.721,200000,12344200.0,410000,25462000.0,HOSE
2026-03-12,14:49:14,BID,40.82,70000,2857400.0,70000,2857400.0,HOSE
2026-03-12,14:49:14,BID,40.82,40000,1632800.0,110000,4490200.0,HOSE
2026-03-12,14:49:14,CTG,34.369,100000,3436900.0,100000,3436900.0,HOSE
2026-03-12,14:49:14,BID,40.82,30000,1224600.0,140000,5714800.0,HOSE
2026-03-12,14:49:18,PNJ,116.783,50500,5897541.5,150500,17575841.5,HOSE
2026-03-12,14:49:23,BID,41.7,60000,2502000.0,200000,8216800.0,HOSE
2026-03-12,14:50:08,PNJ,116.783,64400,7520825.2,214900,25096666.7,HOSE
2026-03-12,14:50:11,TCH,14.526,470000,6827220.0,470000,6827220.0,HOSE
2026-03-12,14:50:17,VNM,61.757,795000,49096815.0,1205000,74558815.0,HOSE
2026-03-12,14:50:18,VHM,89.26,20000,1785200.0,400000,39785200.0,HOSE
2026-03-12,14:50:41,MBB,27.336,600000,16401600.0,7455801,203506789.75,HOSE
2026-03-12,14:50:49,PNJ,116.783,34000,3970622.0,248900,29067288.7,HOSE
2026-03-12,14:51:13,E1VFVN30,33.139,60773,2013956.4470000002,300773,9903236.447,HOSE
2026-03-12,14:51:19,TCH,14.526,500000,7263000.0,970000,14090220.0,HOSE
2026-03-12,14:51:20,VIC,145.0,4000000,580000000.0,4000000,580000000.0,HOSE
2026-03-12,14:51:31,PNJ,116.783,101100,11806761.3,350000,40874050.0,HOSE
2026-03-12,14:51:44,FUEVFVND,37.074,89902,3333026.7479999997,189902,6829726.748,HOSE
2026-03-12,14:51:58,PNJ,116.783,70000,8174810.0,420000,49048860.0,HOSE
2026-03-12,14:52:22,PNJ,116.783,28900,3375028.7,448900,52423888.7,HOSE
2026-03-12,14:52:27,AGG,12.9,200000,2580000.0,5384000,69453600.0,HOSE
2026-03-12,14:52:58,MBB,27.336,100000,2733600.0,7555801,206240389.75,HOSE
2026-03-12,14:53:14,PNJ,116.783,100000,11678300.0,548900,64102188.7,HOSE
2026-03-12,14:53:30,KDC,51.3,180000,9234000.0,180000,9234000.0,HOSE
2026-03-12,14:53:30,KDC,51.3,230000,11799000.0,410000,21033000.0,HOSE
2026-03-12,14:55:03,MBB,27.336,100000,2733600.0,7655801,208973989.75,HOSE
2026-03-12,14:55:21,TVB,6.88,71000,488480.0,71000,488480.0,HOSE
2026-03-12,14:56:05,MBB,27.336,100000,2733600.0,7755801,211707589.75,HOSE
